,restaurant,street,zip,city,country,lat,lng
0,McDonalds,S-Bahnhof Alexanderplatz 1,10178,Berlin,Germany,52.52115,13.4129
1,McDonalds,U-Bahnhof Alexanderplatz 1,10178,Berlin,Germany,52.52115,13.4129
2,McDonalds,Europaplatz 1,10557,Berlin,Germany,52.52584,13.36913
3,McDonalds,Walther-Schreiber-Platz 1,12161,Berlin,Germany,52.4647,13.32815
4,McDonalds,Hansastr. 1,13053,Berlin,Germany,52.547,13.46849
5,McDonalds,Hanne-Sobek-Platz 1,13357,Berlin,Germany,52.5488,13.38807
6,McDonalds,Grunerstr. 20,10179,Berlin,Germany,52.52024,13.4147
7,McDonalds,Osloer Strasse 1,13359,Berlin,Germany,52.55546,13.39119
8,McDonalds,Schnellerstr. 21,12439,Berlin,Germany,52.45658,13.50952
9,McDonalds,Alboinstr. 4,12103,Berlin,Germany,52.46958,13.37132
10,McDonalds,Badstr. 4,13357,Berlin,Germany,52.54965,13.3874
11,McDonalds,Weitlingstr. 22,10317,Berlin,Germany,52.50941,13.49766
12,McDonalds,Grossbeerenstr. 22,12107,Berlin,Germany,52.43722,13.3796
13,McDonalds,Wrangelstr. 35,10997,Berlin,Germany,52.50088,13.43639
14,McDonalds,Teltower Damm 35,14169,Berlin,Germany,52.43155,13.25915
15,McDonalds,Sonntagsstrasse 37,10245,Berlin,Germany,52.50412,13.46867
16,McDonalds,Kurt-Schumacher-Damm 38,13405,Berlin,Germany,52.56077,13.32336
17,McDonalds,Prenzlauer Promenade 45,13089,Berlin,Germany,52.56101,13.42859
18,McDonalds,Wilmersdorfer Str. 46,10629,Berlin,Germany,52.50972,13.30573
19,McDonalds,Wendenschlossstr. 2,12559,Berlin,Germany,52.44803,13.59273
20,McDonalds,Charlottenburger Chaussee 49,13597,Berlin,Germany,52.52702,13.23357
21,McDonalds,Am Borsigturm 2,13507,Berlin,Germany,52.5838,13.28676
22,McDonalds,Am Ostbahnhof 9,10243,Berlin,Germany,52.50949,13.43443
23,McDonalds,Bitterfelder Str. 9,12681,Berlin,Germany,52.55359,13.54381
24,McDonalds,Alt-Mahlsdorf 60,12623,Berlin,Germany,52.50416,13.62338
25,McDonalds,Alt-Friedrichsfelde 61,10315,Berlin,Germany,52.50981,13.53173
26,McDonalds,Werner-Voss-Damm 62,12101,Berlin,Germany,52.47552,13.3643
27,McDonalds,Karl-Marx-Str. 66,12043,Berlin,Germany,52.48228,13.43313
28,McDonalds,Am Treptower Park 14,12435,Berlin,Germany,52.49142,13.45811
29,McDonalds,Greifswalder Str. 80,10405,Berlin,Germany,52.53973,13.43739
30,McDonalds,Klosterstr. 3,13581,Berlin,Germany,52.53317,13.19843
31,McDonalds,Saalestr. 83,12055,Berlin,Germany,52.46976,13.44224
32,McDonalds,Markstr. 16,13409,Berlin,Germany,52.5606,13.36355
33,McDonalds,Rudower Str. 100,12351,Berlin,Germany,52.43623,13.46501
34,McDonalds,Frankfurter Allee 117,10247,Berlin,Germany,52.51364,13.47606
35,McDonalds,Schlossstr. 117,12163,Berlin,Germany,52.46245,13.32616
36,McDonalds,Clayallee 121,14195,Berlin,Germany,52.45882,13.2743
37,McDonalds,Friedrichstr. 207,10969,Berlin,Germany,52.50729,13.39043
38,McDonalds,Sonnenallee 254,12057,Berlin,Germany,52.47101,13.46115
39,McDonalds,Johannisthaler Chaussee 295,12353,Berlin,Germany,52.43042,13.45596
40,McDonalds,Heerstr. 666,13591,Berlin,Germany,52.52834,13.12373
41,McDonalds,Leipziger Platz 12-13,10117,Berlin,Germany,52.5108,13.38105
42,McDonalds,Hermannplatz 2-3,10967,Berlin,Germany,52.48665,13.4247
43,McDonalds,Buckower Chaussee 100-102,12277,Berlin,Germany,52.41055,13.38209
44,McDonalds,Kantstr. 111a,10627,Berlin,Germany,52.50668,13.30636
45,McDonalds,Osdorferstr. 125a,12207,Berlin,Germany,52.41957,13.3125
46,McDonalds,Friedrichstr. 141-142,10117,Berlin,Germany,52.52017,13.38828
